# 台灣50 (0050) + 中型100 (0051) 成分股聯集
# 資料來源：口袋證券 https://www.pocket.tw/etf/tw/0050/fundholding + /0051/fundholding
# 資料日期：2026-04-23
# 格式：ticker,name,etf
2330,台積電,0050
2308,台達電,0050
2454,聯發科,0050
2317,鴻海,0050
3711,日月光投控,0050
2383,台光電,0050
2345,智邦,0050
3037,欣興,0050
2891,中信金,0050
2303,聯電,0050
2382,廣達,0050
2887,台新新光金,0050
2883,凱基金,0050
2884,玉山金,0050
2890,永豐金,0050
2886,兆豐金,0050
2002,中鋼,0050
2885,元大金,0050
2892,第一金,0050
5880,合庫金,0050
2882,國泰金,0050
2880,華南金,0050
2881,富邦金,0050
1303,南亞,0050
1216,統一,0050
1301,台塑,0050
2412,中華電,0050
2344,華邦電,0050
3231,緯創,0050
2301,光寶科,0050
4904,遠傳,0050
2327,國巨,0050
3045,台灣大,0050
6505,台塑化,0050
2408,南亞科,0050
2449,京元電子,0050
2603,長榮,0050
6919,康霈,0050
2357,華碩,0050
2395,研華,0050
2360,致茂,0050
2368,金像電,0050
3017,奇鋐,0050
2207,和泰車,0050
6669,緯穎,0050
3008,大立光,0050
3653,健策,0050
3661,世芯-KY,0050
7769,鴻勁,0050
2059,川湖,0050
2801,彰銀,0051
3481,群創,0051
2834,臺企銀,0051
1101,台泥,0051
2409,友達,0051
2324,仁寶,0051
2812,台中銀,0051
5876,上海商銀,0051
1326,台化,0051
6770,力積電,0051
1605,華新,0051
1402,遠東新,0051
2610,華航,0051
2353,宏碁,0051
2618,長榮航,0051
2356,英業達,0051
2845,遠東銀,0051
1102,亞泥,0051
9904,寶成,0051
2633,台灣高鐵,0051
2027,大成鋼,0051
4938,和碩,0051
2105,正新,0051
2609,陽明,0051
2337,旺宏,0051
9945,潤泰新,0051
5871,中租-KY,0051
3702,大聯大,0051
2615,萬海,0051
1504,東元,0051
2542,興富發,0051
2646,星宇航空,0051
2347,聯強,0051
2371,大同,0051
2313,華通,0051
2354,鴻準,0051
1802,台玻,0051
1229,聯華,0051
3706,神達,0051
2838,聯邦銀,0051
3036,文曄,0051
4958,臻鼎-KY,0051
6239,力成,0051
2377,微星,0051
2915,潤泰全,0051
2385,群光,0051
3034,聯詠,0051
2376,技嘉,0051
2912,統一超,0051
2379,瑞昱,0051
2474,可成,0051
2006,東和鋼鐵,0051
6176,瑞儀,0051
3044,健鼎,0051
9910,豐泰,0051
3005,神基,0051
1513,中興電,0051
1319,東陽,0051
6285,啟碁,0051
6415,矽力-KY,0051
3189,景碩,0051
2539,櫻花建,0051
2049,上銀,0051
6446,藥華藥,0051
6191,精成科,0051
1503,士電,0051
1477,聚陽,0051
3023,信邦,0051
8046,南電,0051
2451,創見,0051
1476,儒鴻,0051
3665,貿聯-KY,0051
5434,崇越,0051
8464,億豐,0051
2404,漢唐,0051
6139,亞翔,0051
1519,華城,0051
1590,亞德客-KY,0051
1795,美時,0051
6789,采鈺,0051
6531,愛普,0051
3533,嘉澤,0051
3443,創意,0051
8996,高力,0051
6409,旭隼,0051
6472,保瑞,0051
8210,勤誠,0051
6442,光聖,0051
6805,富世達,0051
7750,新代,0051
5269,祥碩,0051
6526,達發,0051
6781,AES-KY,0051
6515,穎崴,0051
