ticker	name	mc_yi	market	price
2330	台積電	539396.5	TWSE	2080.0
2308	台達電	51431.4	TWSE	1980.0
2454	聯發科	35526.5	TWSE	2215.0
2317	鴻海	31507.7	TWSE	225.0
3711	日月光投控	20720.6	TWSE	464.5
2383	台光電	14691.2	TWSE	4100.0
2382	廣達	12437.7	TWSE	322.0
2881	富邦金	12368.5	TWSE	88.3
2345	智邦	11671.3	TWSE	2080.0
3037	欣興	11469.9	TWSE	728.0
2882	國泰金	10972.6	TWSE	74.8
2412	中華電	10550.1	TWSE	136.0
3017	奇鋐	10510.4	TWSE	2680.0
2891	中信金	10370.2	TWSE	52.7
2303	聯電	9257.8	TWSE	73.6
7769	鴻勁	8654.6	TWSE	4810.0
2360	致茂	8249.8	TWSE	1940.0
6669	緯穎	7898.2	TWSE	4250.0
3653	健策	7791.5	TWSE	5310.0
2408	南亞科	7176.4	TWSE	208.0
1303	南亞	6757.1	TWSE	85.2
2885	元大金	6692.2	TWSE	50.2
2368	金像電	6458.2	TWSE	1265.0
2327	國巨*	6115.2	TWSE	295.0
5274	信驊	5923.7	OTC	15670.0
2886	兆豐金	5903.7	TWSE	39.8
2887	台新新光金	5893.3	TWSE	23.7
3665	貿聯-KY	5374.4	TWSE	2755.0
2884	玉山金	5248.5	TWSE	32.45
3443	創意	5239.9	TWSE	3910.0
8046	南電	5137.0	TWSE	795.0
6505	台塑化	4924.9	TWSE	51.7
2880	華南金	4905.7	TWSE	35.25
6223	旺矽	4693.3	OTC	4790.0
2890	永豐金	4572.3	TWSE	31.55
2357	華碩	4441.7	TWSE	598.0
3231	緯創	4436.7	TWSE	139.5
2603	長榮	4351.7	TWSE	201.0
3045	台灣大	4170.1	TWSE	112.0
1216	統一	4085.4	TWSE	71.9
2892	第一金	4047.8	TWSE	28.15
2344	華邦電	3951.0	TWSE	87.8
6515	穎崴	3867.3	TWSE	10730.0
2301	光寶科	3811.1	TWSE	164.5
8299	群聯	3714.1	OTC	1705.0
5880	合庫金	3630.1	TWSE	23.15
4958	臻鼎-KY	3479.4	TWSE	325.0
4904	遠傳	3459.1	TWSE	95.9
2883	凱基金	3428.9	TWSE	20.2
2059	川湖	3416.4	TWSE	3585.0
2449	京元電子	3393.1	TWSE	277.5
3008	大立光	3316.7	TWSE	2485.0
1301	台塑	3246.5	TWSE	51.0
3661	世芯-KY	3245.1	TWSE	3980.0
2395	研華	3086.7	TWSE	356.5
2002	中鋼	3013.2	TWSE	19.15
3529	力旺	2972.5	OTC	3980.0
1326	台化	2895.4	TWSE	49.4
2207	和泰車	2802.2	TWSE	503.0
2379	瑞昱	2794.1	TWSE	542.0
3081	聯亞	2794.0	OTC	3020.0
1519	華城	2770.3	TWSE	877.0
3533	嘉澤	2768.4	TWSE	2460.0
1590	亞德客-KY	2760.0	TWSE	1380.0
6274	台燿	2743.4	OTC	950.0
6488	環球晶	2734.8	OTC	572.0
2313	華通	2651.8	TWSE	222.5
3036	文曄	2606.8	TWSE	206.0
5347	世界	2539.7	OTC	136.0
3189	景碩	2524.0	TWSE	479.0
2801	彰銀	2488.5	TWSE	21.15
3034	聯詠	2470.6	TWSE	406.0
2912	統一超	2437.9	TWSE	234.5
2337	旺宏	2433.2	TWSE	126.0
3044	健鼎	2430.9	TWSE	462.5
6446	藥華藥	2389.6	TWSE	629.0
3105	穩懋	2374.1	OTC	560.0
4938	和碩	2253.0	TWSE	84.0
6770	力積電	2235.2	TWSE	52.9
3293	鈊象	2144.5	OTC	761.0
2615	萬海	2073.7	TWSE	73.9
5871	中租-KY	2070.8	TWSE	121.0
5876	上海商銀	1944.6	TWSE	40.0
3481	群創	1925.4	TWSE	24.1
1802	台玻	1925.1	TWSE	66.2
2404	漢唐	1858.2	TWSE	975.0
1101	台泥	1846.9	TWSE	24.55
2376	技嘉	1842.2	TWSE	275.0
2618	長榮航	1822.6	TWSE	33.75
2609	陽明	1749.5	TWSE	50.1
6919	康霈*	1705.2	TWSE	109.5
8069	元太	1694.0	OTC	147.0
6139	亞翔	1677.3	TWSE	712.0
2356	英業達	1661.0	TWSE	46.3
6789	采鈺	1639.2	TWSE	515.0
6415	矽力*-KY	1616.1	TWSE	415.5
3702	大聯大	1615.3	TWSE	96.2
7750	新代	1609.3	TWSE	2240.0
2834	臺企銀	1598.6	TWSE	16.45
6442	光聖	1577.1	TWSE	2020.0
6239	力成	1571.4	TWSE	207.0
2633	台灣高鐵	1480.2	TWSE	26.3
1504	東元	1456.8	TWSE	61.3
910322	康師傅-DR	1410.8	TWSE	25.1
1402	遠東新	1399.8	TWSE	26.15
8210	勤誠	1378.5	TWSE	1100.0
2324	仁寶	1375.0	TWSE	31.2
2347	聯強	1372.7	TWSE	82.3
1605	華新	1344.9	TWSE	30.35
2409	友達	1339.6	TWSE	17.75
6805	富世達	1309.4	TWSE	1910.0
2474	可成	1299.6	TWSE	231.5
3260	威剛	1294.8	OTC	397.5
1102	亞泥	1278.5	TWSE	36.05
6531	愛普*	1277.3	TWSE	785.0
6510	精測	1262.4	OTC	3850.0
6187	萬潤	1219.7	OTC	1255.0
2812	台中銀	1213.4	TWSE	20.15
5536	聖暉*	1177.5	OTC	949.0
8996	高力	1119.0	TWSE	1210.0
3706	神達	1095.0	TWSE	82.5
2610	華航	1089.0	TWSE	17.9
2451	創見	1083.2	TWSE	251.5
2049	上銀	1068.5	TWSE	302.0
3491	昇達科	1066.5	OTC	1550.0
8464	億豐	1062.2	TWSE	362.5
5289	宜鼎	1061.2	OTC	1105.0
2105	正新	1055.1	TWSE	32.55
6285	啟碁	1052.0	TWSE	217.5
3363	上詮	1035.3	OTC	911.0
3324	雙鴻	1028.5	OTC	1105.0
1503	士電	1000.3	TWSE	192.0
6147	頎邦	997.8	OTC	134.0
6213	聯茂	997.6	TWSE	274.5
7734	印能科技	970.2	OTC	3465.0
3264	欣銓	968.1	OTC	197.5
2385	群光	957.7	TWSE	126.0
5269	祥碩	953.4	TWSE	1275.0
6781	AES-KY	952.4	TWSE	1115.0
2027	大成鋼	936.8	TWSE	36.25
8358	金居	934.6	OTC	370.0
3163	波若威	934.3	OTC	1160.0
6526	達發	931.3	TWSE	556.0
4749	新應材	924.5	OTC	997.0
1717	長興	923.7	TWSE	78.8
3131	弘塑	920.3	OTC	3150.0
1476	儒鴻	913.6	TWSE	333.0
6257	矽格	875.9	TWSE	181.0
2838	聯邦銀	872.5	TWSE	20.1
1785	光洋科	861.2	OTC	144.5
2467	志聖	843.3	TWSE	538.0
2353	宏碁	836.6	TWSE	27.45
6196	帆宣	828.4	TWSE	376.0
2377	微星	828.0	TWSE	98.0
6691	洋基工程	821.3	TWSE	676.0
2542	興富發	812.7	TWSE	37.4
5483	中美晶	807.9	OTC	126.0
5434	崇越	806.9	TWSE	419.5
4979	華星光	799.8	OTC	567.0
9904	寶成	788.3	TWSE	26.75
1229	聯華	773.2	TWSE	43.05
4991	環宇-KY	768.0	OTC	635.0
1560	中砂	765.6	TWSE	521.0
1513	中興電	762.2	TWSE	151.5
3030	德律	761.8	TWSE	322.5
9910	豐泰	751.5	TWSE	76.1
6944	兆聯實業	743.9	TWSE	970.0
2354	鴻準	739.8	TWSE	52.3
3583	辛耘	717.4	TWSE	893.0
9945	潤泰新	691.1	TWSE	24.3
8021	尖點	683.9	TWSE	471.5
6121	新普	673.3	OTC	364.0
6409	旭隼	672.7	TWSE	767.0
3023	信邦	667.4	TWSE	278.0
3532	台勝科	665.2	TWSE	171.5
2371	大同	657.1	TWSE	30.55
2455	全新	639.8	TWSE	346.0
1815	富喬	631.7	OTC	108.0
2492	華新科	631.5	TWSE	130.0
7799	禾榮科	629.9	TWSE	399.5
2645	長榮航太	619.9	TWSE	165.5
4919	新唐	617.1	TWSE	147.0
2646	星宇航空	613.8	TWSE	20.4
7822	倍利科	610.5	TWSE	1340.0
3005	神基	610.0	TWSE	98.0
6005	群益證	608.9	TWSE	28.05
3211	順達	607.9	OTC	394.0
2845	遠東銀	600.9	TWSE	12.35
9105	泰金寶-DR	598.8	TWSE	5.73
1795	美時	596.5	TWSE	223.5
4583	台灣精銳	593.3	TWSE	740.0
7751	竑騰	590.2	OTC	2195.0
3563	牧德	578.2	TWSE	904.0
3406	玉晶光	575.0	TWSE	510.0
3167	大量	565.5	TWSE	639.0
5904	寶雅	564.2	OTC	530.0
6949	沛爾生醫-創	561.5	TWSE	865.0
7828	創新服務	558.8	OTC	1380.0
2540	愛山林	552.8	TWSE	58.5
2637	慧洋-KY	546.4	TWSE	73.2
2855	統一證	544.5	TWSE	34.0
1477	聚陽	542.7	TWSE	220.0
2889	國票金	539.6	TWSE	14.85
5522	遠雄	538.5	TWSE	68.9
6191	精成科	534.3	TWSE	107.0
2539	櫻花建	529.1	TWSE	44.35
6548	長科*	527.5	OTC	55.5
6472	保瑞	525.0	TWSE	411.0
3042	晶技	524.8	TWSE	153.0
1773	勝一	522.0	TWSE	174.0
2486	一詮	519.4	TWSE	222.0
6290	良維	519.3	OTC	306.5
2606	裕民	518.9	TWSE	61.4
9917	中保科	518.9	TWSE	115.0
3714	富采	516.6	TWSE	70.0
6584	南俊國際	514.1	OTC	738.0
6176	瑞儀	509.2	TWSE	109.5
2258	鴻華先進-創	507.7	TWSE	29.0
3715	定穎投控	507.6	TWSE	179.0
8150	南茂	506.6	TWSE	71.9
2441	超豐	503.4	TWSE	88.5
3374	精材	498.0	OTC	183.5
6683	雍智科技	496.0	OTC	1800.0
2915	潤泰全	490.9	TWSE	44.45
2006	東和鋼鐵	490.7	TWSE	67.2
3450	聯鈞	485.8	TWSE	333.5
6451	訊芯-KY	485.1	TWSE	446.5
2597	潤弘	481.6	TWSE	155.0
4966	譜瑞-KY	480.3	OTC	600.0
1210	大成	479.6	TWSE	53.6
2634	漢翔	466.2	TWSE	49.5
6414	樺漢	463.2	TWSE	317.5
3006	晶豪科	463.0	TWSE	155.5
5475	德宏	461.5	OTC	363.0
4772	台特化	460.8	OTC	312.0
2867	三商壽	459.0	TWSE	7.78
5234	達興材料	457.1	TWSE	445.0
8454	富邦媒	457.1	TWSE	172.5
9941	裕融	454.8	TWSE	79.0
3680	家登	450.0	OTC	468.5
2923	鼎固-KY	449.0	TWSE	25.8
5469	瀚宇博	448.2	TWSE	92.2
1319	東陽	447.2	TWSE	75.6
8112	至上	440.2	TWSE	83.8
2206	三陽工業	439.6	TWSE	56.1
3035	智原	439.0	TWSE	168.5
1722	台肥	437.1	TWSE	44.6
2367	燿華	431.5	TWSE	61.1
2504	國產	424.8	TWSE	36.0
5903	全家	424.1	OTC	190.0
4763	材料*-KY	423.4	TWSE	42.8
2388	威盛	423.0	TWSE	76.1
4766	南寶	421.4	TWSE	349.5
3376	新日興	420.9	TWSE	215.0
6640	均華	419.2	OTC	1470.0
2548	華固	418.8	TWSE	131.0
2211	長榮鋼	417.1	TWSE	100.0
6278	台表科	416.7	TWSE	142.5
6830	汎銓	415.8	TWSE	803.0
2458	義隆	413.3	TWSE	136.0
1215	卜蜂	412.7	TWSE	140.0
6282	康舒	410.9	TWSE	48.0
6890	來億-KY	407.8	TWSE	163.5
2312	金寶	406.5	TWSE	27.0
2421	建準	406.0	TWSE	141.5
1907	永豐餘	404.3	TWSE	24.35
2352	佳世達	395.9	TWSE	25.05
6592	和潤企業	389.5	TWSE	62.5
2850	新產	388.6	TWSE	123.0
8028	昇陽半導體	385.6	TWSE	220.0
2481	強茂	382.1	TWSE	100.0
8039	台虹	381.2	TWSE	145.0
2329	華泰	371.7	TWSE	56.4
3026	禾伸堂	370.8	TWSE	223.5
3596	智易	370.2	TWSE	168.0
6271	同欣電	369.0	TWSE	176.5
3010	華立	365.8	TWSE	141.0
6739	竹陞科技	359.1	OTC	1535.0
2015	豐興	357.7	TWSE	61.5
3019	亞光	354.6	TWSE	127.0
6670	復盛應用	353.3	TWSE	253.5
6831	邁科	351.0	TWSE	520.0
5439	高技	350.1	OTC	376.5
3413	京鼎	348.9	TWSE	315.5
8415	大國鋼	348.1	OTC	33.75
4915	致伸	346.3	TWSE	73.5
8070	長華*	342.5	TWSE	47.2
2072	世紀風電	341.8	TWSE	178.0
1736	喬山	339.8	TWSE	112.0
8932	智通*	339.3	OTC	94.8
9939	宏全	338.7	TWSE	114.5
2498	宏達電	334.4	TWSE	40.0
4971	IET-KY	333.9	OTC	835.0
9933	中鼎	332.7	TWSE	36.95
8926	台汽電	331.5	TWSE	45.4
6217	中探針	330.5	OTC	282.0
8422	可寧衛*	330.2	TWSE	29.05
6214	精誠	329.4	TWSE	121.0
3227	原相	323.6	OTC	215.0
2393	億光	321.0	TWSE	72.4
7795	長廣	317.7	TWSE	403.0
4585	達明	317.0	TWSE	303.0
6023	元大期貨	316.5	OTC	98.9
2903	遠百	315.3	TWSE	22.25
7610	聯友金屬-創	310.0	TWSE	638.0
1711	永光	309.5	TWSE	56.5
6412	群電	309.4	TWSE	77.2
2501	國建	304.4	TWSE	26.25
1514	亞力	303.2	TWSE	111.0
5371	中光電	302.6	OTC	77.4
4123	晟德	301.1	OTC	39.55
2204	中華	297.3	TWSE	53.7
2201	裕隆	293.7	TWSE	27.45
1314	中石化	287.6	TWSE	7.6
3693	營邦	286.7	OTC	667.0
6561	是方	284.5	OTC	365.0
8271	宇瞻	284.4	TWSE	222.0
2472	立隆電	283.3	TWSE	172.0
2897	王道銀行	283.3	TWSE	10.1
3090	日電貿	283.3	TWSE	98.5
9907	統一實	280.3	TWSE	17.75
3515	華擎	279.2	TWSE	226.0
2363	矽統	278.6	TWSE	54.1
1808	潤隆	275.5	TWSE	30.85
2351	順德	275.0	TWSE	151.0
1409	新纖	271.9	TWSE	16.8
1434	福懋	270.4	TWSE	16.05
8016	矽創	269.7	TWSE	224.5
9921	巨大	269.3	TWSE	68.7
1227	佳格	268.6	TWSE	29.35
7711	永擎	266.9	TWSE	372.0
8086	宏捷科	266.3	OTC	135.5
2849	安泰銀	266.2	TWSE	13.6
6715	嘉基	265.5	TWSE	400.0
2543	皇昌	264.3	TWSE	50.0
1231	聯華食	263.8	TWSE	88.4
2208	台船	262.6	TWSE	20.6
2023	燁輝	260.8	TWSE	13.9
2607	榮運	260.6	TWSE	48.85
9958	世紀鋼	259.2	TWSE	105.0
1609	大亞	257.6	TWSE	32.8
6456	GIS-KY	256.5	TWSE	75.9
8131	福懋科	256.5	TWSE	58.0
2476	鉅祥	255.9	TWSE	117.5
3576	聯合再生	254.7	TWSE	15.65
6903	巨漢	253.4	OTC	380.0
2489	瑞軒	252.5	TWSE	41.4
3673	TPK-KY	250.9	TWSE	61.7
2101	南港	250.6	TWSE	34.15
2014	中鴻	249.1	TWSE	17.35
5388	中磊	247.7	TWSE	81.4
4743	合一	246.9	OTC	51.4
6664	群翊	244.4	OTC	402.0
4768	晶呈科技	244.1	OTC	514.0
5534	長虹	243.4	TWSE	77.2
8033	雷虎	243.4	TWSE	159.5
2851	中再保	241.3	TWSE	30.15
6116	彩晶	241.3	TWSE	8.44
8110	華東	240.5	TWSE	46.45
2362	藍天	239.3	TWSE	38.45
1232	大統益	239.2	TWSE	149.5
7805	威聯通	239.2	OTC	722.0
2374	佳能	239.0	TWSE	71.0
6188	廣明	236.9	OTC	85.1
6643	M31	235.7	OTC	564.0
2328	廣宇	235.1	TWSE	45.35
6182	合晶	233.5	OTC	40.7
4960	誠美材	231.5	TWSE	40.5
7786	東方風能	231.5	TWSE	132.0
6197	佳必琪	228.9	TWSE	187.5
4576	大銀微系統	227.6	TWSE	190.0
2820	華票	227.0	TWSE	16.9
3265	台星科	226.9	OTC	166.5
3707	漢磊	225.9	OTC	57.9
5314	世紀*	224.5	OTC	76.9
3013	晟銘電	223.6	TWSE	109.0
6146	耕興	223.6	OTC	219.5
3587	閎康	223.2	OTC	333.0
6491	晶碩	223.1	TWSE	286.0
6757	台灣虎航	223.1	TWSE	48.55
2707	晶華	223.0	TWSE	175.0
2428	興勤	222.9	TWSE	174.0
2402	毅嘉	220.2	TWSE	71.6
2439	美律	220.1	TWSE	86.7
2836	高雄銀	219.0	TWSE	11.9
6177	達麗	218.2	TWSE	46.25
6535	順藥	215.7	OTC	128.5
6269	台郡	214.7	TWSE	66.3
4728	雙美	214.6	OTC	394.0
5351	鈺創	214.6	OTC	65.9
2515	中工	213.9	TWSE	13.3
1440	南紡	213.7	TWSE	12.9
6605	帝寶	213.1	TWSE	128.5
4967	十銓	212.4	TWSE	250.0
5340	建榮	212.4	OTC	109.0
1608	華榮	211.0	TWSE	33.35
4506	崇友	210.6	OTC	119.0
6803	崑鼎	210.4	OTC	289.5
2316	楠梓電	209.2	TWSE	114.5
8081	致新	208.5	TWSE	242.0
5243	乙盛-KY	208.1	TWSE	123.5
8155	博智	206.3	OTC	359.5
3014	聯陽	205.0	TWSE	123.5
2535	達欣工	204.4	TWSE	75.5
2485	兆赫	203.0	TWSE	63.9
7722	LINEPAY	202.3	TWSE	297.5
6854	錼創科技-KY創	201.8	TWSE	171.5
1904	正隆	200.6	TWSE	18.1
2355	敬鵬	200.3	TWSE	50.4
3016	嘉晶	200.0	TWSE	69.3
3380	明泰	199.4	TWSE	36.8
6579	研揚	199.1	TWSE	117.5
6937	天虹	198.2	TWSE	293.0
1104	環泥	197.8	TWSE	28.8
7717	萊德光電-KY	197.2	OTC	796.0
6962	奕力-KY	196.7	TWSE	39.95
4961	天鈺	196.4	TWSE	162.0
2605	新興	193.8	TWSE	33.1
7749	意騰-KY	192.9	TWSE	415.0
6443	元晶	192.3	TWSE	37.5
5009	榮剛	191.9	OTC	31.85
4722	國精化	191.5	TWSE	188.0
1723	中碳	191.4	TWSE	80.8
6291	沛亨	191.3	OTC	455.5
2392	正崴	190.1	TWSE	37.1
1419	新紡	189.3	TWSE	63.1
2520	冠德	188.9	TWSE	31.0
2359	所羅門	187.8	TWSE	109.5
3357	臺慶科	187.5	OTC	169.5
5213	亞昕	187.5	OTC	26.0
6613	朋億*	186.7	OTC	240.0
2727	王品	186.2	TWSE	224.5
5530	龍巖	186.1	OTC	44.3
6719	力智	184.6	TWSE	175.0
2231	為升	184.2	TWSE	135.5
4770	上品	183.1	TWSE	229.0
2530	華建	183.0	TWSE	21.75
9911	櫻花	183.0	TWSE	82.3
5443	均豪	182.9	OTC	111.0
6788	華景電	182.5	OTC	471.0
3617	碩天	182.4	TWSE	192.5
6138	茂達	181.2	OTC	239.5
4977	眾達-KY	180.8	TWSE	225.5
3592	瑞鼎	179.4	TWSE	236.5
4105	東洋	179.3	OTC	72.1
9914	美利達	179.1	TWSE	59.9
2338	光罩	178.3	TWSE	48.6
2247	汎德永業	178.0	TWSE	220.5
5607	遠雄港	177.9	TWSE	48.0
5284	jpp-KY	177.7	TWSE	336.0
